Label,File,Jf,Ja,Bandwidth,Power_dB,SubDataset,P2Median
Hear My Ship: Tour Boats,TourBoat_5_White_WideBrown_White_Bouys_24.08.23_101218_20secCPA.wav,0.9316408954534964,0.8362133035032997,3.0,-41.70971,,5.803983707563958
Hear My Ship: Tour Boats,TourBoat_5_White_WideBrown_White_Bouys_31.08.23_100037_20secCPA.wav,0.8820990479677774,0.8544891382250143,3.0,-41.82651,,6.1958589679007225
Hear My Ship: Tour Boats,TourBoat_5_White_WideBrown_White_Bouys_026.08.23_160612_20secCPA.wav,0.5928343477859691,0.9646136955668276,3.0,-41.99987,,11.59113824983006
Hear My Ship: Tour Boats,Tourboat_unk_01.09.23_172029_20secCPA.wav,0.7999403074964815,0.932138277700364,3.0,-43.414803,,10.306237089071988
Hear My Ship: Tour Boats,TourBoat_6_White_Red_White_Bouys_01.09.23_151307_20secCPA.wav,0.8842883241525953,0.9879807113475212,2.0,-43.220844,,6.096049688317874
Hear My Ship: Tour Boats,TourBoat_6_White_Red_White_Bouys_18.08.23_101417_20secCPA.wav,0.9445221549593438,0.9796078935004542,2.0,-44.84353,,7.941587364778919
Hear My Ship: Tour Boats,TourBoat_7_White_Trimaran_01.09.23_095028_20secCPA.wav,0.4881981838377457,0.98623916107354,3.0,-46.542133,,18.34806697741458
Hear My Ship: Tour Boats,TourBoat_7_White_Trimaran_01.09.23_160357_20secCPA.wav,0.7662762913675928,0.8666613403369587,4.0,-43.156113,,53.18910821635088
Hear My Ship: Tour Boats,TourBoat_7_White_Trimaran_03.08.23_160705_20secCPA.wav,0.3014364924151762,0.9109821888458068,2.0,-35.88844,,131.7981614513516
Hear My Ship: Tour Boats,TourBoat_8_Brown_Blue_02.09.23_104550_20secCPA.wav,0.8749501532786681,0.9395422804431344,3.0,-43.147892,,11.054926000719894
Hear My Ship: Tour Boats,TourBoat_8_Brown_Blue_04.09.23_161810_20secCPA.wav,0.981740956063773,0.8821321824909463,3.0,-35.970966,,62.49315833814087
Hear My Ship: Tour Boats,TourBoat_8_Brown_Blue_31.08.23_162121_20secCPA.wav,0.9603518753171356,0.8832182450046672,3.0,-34.51365,,32.56389327657382
Hear My Ship: Tour Boats,TourBoat_8_Fast_24.08.23_100912_20secCPA.wav,0.4286010206351549,0.8349597062764735,3.0,-40.12135,,5.150334989901331
Hear My Ship: Tour Boats,TourBoat_9_Brown_White_Mast_01.09.23_101922_20secCPA.wav,0.5141276716109748,0.8647562151241843,3.0,-46.989933,,11.100083447257736
Hear My Ship: Tour Boats,TourBoat_9_Brown_White_Mast_05.09.23_170033_20secCPA.wav,0.4225848933974977,0.9705889526422226,3.0,-51.621964,,7.329741287101027
Hear My Ship: Tour Boats,TourBoat_9_Brown_White_Mast_23.08.23_102520_20secCPA.wav,0.4984331759900051,0.9236568169408595,3.0,-46.83968,,14.627114135113862
Garda: Electric Craft,0928.wav,0.9917381955556588,0.9245448319029352,4.0,-60.464706,,8.844362258911133
Garda: Electric Craft,0937.wav,0.9425851224075682,0.9487918426892592,3.0,-60.362488,,12.856629371643066
Garda: Electric Craft,0946.wav,0.7638561745363152,0.5698676873951958,6.0,-56.053204,,6.93972635269165
Garda: Electric Craft,0951.wav,0.9207220476354075,0.919332832706122,3.0,-60.06058,,9.241414070129396
Garda: Electric Craft,0958.wav,0.8208786782573739,0.9077393954595516,3.0,-58.218838,,3.90687894821167
Hear My Ship: Motor Boats,Motorboat_01.09.23_072916_20secCPA.wav,0.8800249947927515,0.9231419377657862,2.0,-52.308968,,2.488802980044928
Hear My Ship: Motor Boats,Motorboat_01.09.23_073809_20secCPA.wav,0.943331233181612,0.8995122131210066,2.0,-41.847996,,5.968069954836638
Hear My Ship: Motor Boats,Motorboat_01.09.23_085154_20secCPA.wav,0.4925588455867168,0.9215014954348976,3.0,-46.306717,,7.291752632443515
Hear My Ship: Motor Boats,Motorboat_01.09.23_085334_20secCPA.wav,0.3526193733827388,0.8834933470065347,2.0,-40.58296,,90.87088305201588
Hear My Ship: Motor Boats,Motorboat_01.09.23_085822_20secCPA.wav,0.866690884769791,0.8957433866530069,7.0,-47.46093,,4.404379234964839
Hear My Ship: Motor Boats,Motorboat_01.09.23_090454_20secCPA.wav,0.6258017357475326,0.6565134091091448,2.0,-42.98284,,46.05342349719826
Hear My Ship: Motor Boats,Motorboat_01.09.23_092242_20secCPA.wav,0.9407591895665792,0.902461672257828,10.0,-45.998886,,28.601259986568337
Hear My Ship: Motor Boats,Motorboat_01.09.23_100710_20secCPA.wav,0.8818830764067033,0.9207698295050524,3.0,-42.663803,,15.561253478025224
Hear My Ship: Motor Boats,Motorboat_01.09.23_104053_20secCPA.wav,0.7823410221731416,0.9651696908758528,3.0,-45.039066,,28.61034749231274
Hear My Ship: Motor Boats,Motorboat_01.09.23_104209_20secCPA.wav,0.8291053804458123,0.9273706329491948,7.0,-47.043644,,27.94867741052095
Hear My Ship: Motor Boats,Motorboat_01.09.23_105739_20secCPA.wav,0.9498053695797808,0.8801223748737398,3.0,-42.58209,,6.719532056065525
Hear My Ship: Motor Boats,Motorboat_01.09.23_110956_20secCPA.wav,0.9588557299157624,0.9325752910308578,3.0,-43.534798,,9.194313466458336
Hear My Ship: Motor Boats,Motorboat_01.09.23_113540_20secCPA.wav,0.8961848991121794,0.9397405887295068,2.0,-50.947495,,30.32128466403413
Hear My Ship: Motor Boats,Motorboat_01.09.23_114407_20secCPA.wav,0.8604145071334773,0.924231270312843,3.0,-46.92666,,9.18561716080667
Hear My Ship: Motor Boats,Motorboat_01.09.23_121514_20secCPA.wav,0.9452655836409904,0.8636366482017206,2.0,-43.562622,,50.93061744232335
